STATION,NAME,DATE,TAVG,TMAX,TMIN
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",3/17/24,46,54,36
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",3/18/24,36,38,32
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",3/19/24,33,40,28
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",3/20/24,36,43,26
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",3/21/24,27,30,24
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",3/22/24,25,28,20
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",3/23/24,27,32,15
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",3/24/24,23,35,10
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",3/25/24,33,50,20
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",3/26/24,45,62,34
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",3/27/24,54,65,44
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",3/28/24,44,49,37
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",3/29/24,38,45,30
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",3/30/24,41,49,36
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",3/31/24,44,52,36
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",4/1/24,44,61,34
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",4/2/24,44,49,36
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",4/3/24,43,46,37
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",4/4/24,37,40,33
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",4/5/24,37,43,33
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",4/6/24,44,53,38
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",4/7/24,49,58,36
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",4/8/24,47,64,29
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",4/9/24,58,78,39
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",4/10/24,63,70,54
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",4/11/24,59,69,54
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",4/12/24,62,67,45
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",4/13/24,44,48,39
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",4/14/24,48,58,40
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",4/15/24,49,61,39
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",4/16/24,53,65,38
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",4/17/24,49,61,35
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",4/18/24,51,52,46
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",4/19/24,50,59,46
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",4/20/24,50,57,39
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",4/21/24,43,49,40
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",4/22/24,45,56,35
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",4/23/24,53,71,36
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",4/24/24,51,53,34
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",4/25/24,40,53,28
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",4/26/24,44,63,29
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",4/27/24,53,63,44
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",4/28/24,58,75,48
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",4/29/24,63,72,57
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",4/30/24,62,74,54
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",5/1/24,60,73,51
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",5/2/24,63,69,50
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",5/3/24,61,78,46
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",5/4/24,65,71,54
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",5/5/24,57,61,52
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",5/6/24,63,73,49
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",5/7/24,59,77,44
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",5/8/24,63,80,53
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",5/9/24,57,66,51
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",5/10/24,55,58,52
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",5/11/24,56,64,51
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",5/12/24,56,63,49
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",5/13/24,57,72,46
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",5/14/24,69,83,60
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",5/15/24,63,68,59
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",5/16/24,66,77,60
